tanggal_penyampaian,jenis_laporan,tahun_laporan,bidang,lembaga,unit_kerja,nama,jabatan,nhk,harta_tanah_dan_bangunan,harta_alat_transportasi_dan_mesin,harta_bergerak_lainnya,surat_berharga,harta_kas_dan_setara_kas,harta_lainnya,sub_total,hutang,total_harta_kekayaan
20 Maret 2023,Periodik,2022,EKSEKUTIF,KEMENTERIAN KOMUNIKASI DAN INFORMATIKA,BADAN PENELITIAN DAN PENGEMBANGAN SUMBER DAYA MANUSIA,HARY BUDIARTO,KEPALA BADAN,163340,3000000000,626000000,15000000,300000000,568180256,-,4509180256,-,4509180256
24 Maret 2023,Periodik,2022,EKSEKUTIF,"KEMENTERIAN PENDIDIKAN, KEBUDAYAAN, RISET, DAN TEKNOLOGI",DIREKTORAT JENDERAL PENDIDIKAN VOKASI,KIKI YULIATI,DIREKTUR JENDERAL,907432,2529576000,-,365000000,125000000,243278869,-,3262854869,-,3262854869
15 Maret 2023,Periodik,2022,EKSEKUTIF,KEMENTERIAN PERTAHANAN,BADAN SARANA PERTAHANAN,YUSUF JAUHARI,KEPALA BADAN,551292,2184000000,325000000,2685000000,-,2453315120,-,7647315120,-,7647315120
16 Maret 2022,Periodik,2021,EKSEKUTIF,KEMENTERIAN KOMUNIKASI DAN INFORMATIKA,PIMPINAN TERTINGGI,JOHNNY GERARD PLATE,MENTERI KOMUNIKASI DAN INFORMATIKA,211793,141463603886,460000000,3612000000,4113125000,51939680206,-,201588409092,10352000000,191236409092
7 Maret 2023,Periodik,2022,EKSEKUTIF,KEMENTERIAN LUAR NEGERI,BADAN PENGKAJIAN DAN PENGEMBANGAN KEBIJAKAN,YAYAN GANDA HAYAT MULYANA,KEPALA BADAN PENGKAJIAN DAN PENGEMBANGAN KEBIJAKAN,405599,500310000,255900000,168000000,-,335724599,-,1259934599,-,1259934599
24 Maret 2023,Periodik,2022,EKSEKUTIF,KEMENTERIAN AGAMA,STAF AHLI,ALBERTUS MAGNUS ADIYARTO SUMARDJONO,STAF AHLI BIDANG BIDANG MANAJEMEN KOMUNIKASI DAN INFORMASI,664449,6300000000,215000000,-,-,5721251,6787704,6527508955,47639201,6479869754
29 Maret 2023,Periodik,2022,EKSEKUTIF,"KEMENTERIAN PENDIDIKAN, KEBUDAYAAN, RISET, DAN TEKNOLOGI","DIREKTORAT JENDERAL PENDIDIKAN ANAK USIA DINI, PENDIDIKAN DASAR, DAN PENDIDIKAN MENENGAH",IWAN SYAHRIL,DIREKTUR JENDERAL,804664,2646390810,-,57500000,-,1171855859,-,3875746669,1710917030,2164829639
24 Maret 2023,Periodik,2022,EKSEKUTIF,KEMENTERIAN HUKUM DAN HAK ASASI MANUSIA,STAF AHLI,Y. AMBEG PARAMARTA,STAF AHLI BIDANG POLITIK DAN KEAMANAN,21974,3100000000,730000000,-,-,668100448,-,4498100448,-,4498100448
27 Maret 2023,Periodik,2022,EKSEKUTIF,KEMENTERIAN KOMUNIKASI DAN INFORMATIKA,STAF AHLI,WIDODO MUKTIYO,STAF AHLI MENTERI BIDANG KOMUNIKASI DAN MEDIA MASSA,218965,2108269000,753950000,761220112,190000000,2334843799,-,6148282911,-,6148282911
28 Maret 2022,Periodik,2021,EKSEKUTIF,KEMENTERIAN HUKUM DAN HAK ASASI MANUSIA,PIMPINAN TERTINGGI,YASONNA H. LAOLY,MENTERI,33655,3809090126,905910200,4541499000,1987922000,11947698607,-,23192119933,-,23192119933
2 Maret 2023,Periodik,2022,EKSEKUTIF,KEMENTERIAN HUKUM DAN HAK ASASI MANUSIA,WAKIL PIMPINAN,EDWARD OMAR SHARIF HIARIEJ,WAKIL MENTERI,801970,23000000000,1210000000,-,-,1933937234,-,26143937234,5449440788,20694496446
28 Februari 2023,Periodik,2022,EKSEKUTIF,KEMENTERIAN KEUANGAN,WAKIL PIMPINAN,SUAHASIL NAZARA,WAKIL MENTERI,180291,35981757000,1028900000,3104619171,39891949380,8777539417,3768873123,92553638091,100000000,92453638091
10 Maret 2023,Periodik,2022,EKSEKUTIF,KEMENTERIAN AGAMA,DIREKTORAT JENDERAL BIMBINGAN MASYARAKAT KRISTEN,JEANE MARIE TULUNG,DIREKTUR JENDERAL,494711,3755000000,195000000,369850000,-,185000000,-,4504850000,624000000,3880850000
22 Februari 2023,Periodik,2022,EKSEKUTIF,KEMENTERIAN KESEHATAN,DIREKTORAT JENDERAL TENAGA KESEHATAN,ARIANTI ANAYA,DIREKTUR JENDERAL,217403,9152000000,180000000,332000000,-,1330637798,-,10994637798,900000000,10094637798
7 Maret 2023,Periodik,2022,EKSEKUTIF,KEMENTERIAN AGAMA,STAF AHLI,ABU ROKHMAD,STAF AHLI BIDANG HUKUM DAN HAK ASASI MANUSIA,844914,1400500000,115000000,30300000,-,148554407,30000000,1724354407,374000000,1350354407
27 Maret 2023,Periodik,2022,EKSEKUTIF,KEMENTERIAN AGAMA,DIREKTORAT JENDERAL PENDIDIKAN ISLAM,WAWAN WAHYUDDIN,REKTOR,450732,1862000000,153700000,37200000,-,79431362,-,2132331362,253034288,1879297074
26 Februari 2022,Periodik,2021,EKSEKUTIF,TENTARA NASIONAL INDONESIA,MABES TNI AD,BAMBANG TRISNOHADI,IR PUSTERAD,729215,5100000000,1590000000,-,-,4828453421,-,11518453421,-,11518453421
24 Maret 2021,Periodik,2020,EKSEKUTIF,KEMENTERIAN HUKUM DAN HAK ASASI MANUSIA,PIMPINAN TERTINGGI,YASONNA H. LAOLY,MENTERI,33655,3809090126,905910200,4416499000,1987922000,17057351557,-,28176772883,-,28176772883
8 Maret 2022,Periodik,2021,EKSEKUTIF,KEMENTERIAN SOSIAL,STAF AHLI,ADHY KARYONO,STAF AHLI BIDANG PERUBAHAN DAN DINAMIKA SOSIAL,130146,4460000000,250000000,186500000,1068250000,521472918,-,6486222918,664000000,5822222918
13 Maret 2023,Khusus - Awal Menjabat,2022,EKSEKUTIF,KEMENTERIAN AGAMA,DIREKTORAT JENDERAL PENDIDIKAN ISLAM,AHMAD SUPRIYADI,"WAKIL REKTOR BIDANG ADMINISTRASI UMUM, PERENCANAAN DAN",899525,11262000000,202000000,3600000000,-,640000000,1000000000,16704000000,100000000,16604000000
27 Maret 2021,Periodik,2020,EKSEKUTIF,KEMENTERIAN PERTAHANAN,PIMPINAN TERTINGGI,PRABOWO SUBIANTO,MENTERI,29770,275320450000,1258500000,16359023500,1701879000000,2522545835,40000000000,2037339519335,8000000000,2029339519335
24 Maret 2023,Periodik,2022,EKSEKUTIF,"KEMENTERIAN PENDIDIKAN, KEBUDAYAAN, RISET, DAN TEKNOLOGI",DIREKTORAT JENDERAL PENDIDIKAN TINGGI,NIZAM,DIREKTUR JENDERAL,218696,4918200000,94500000,1265000000,656422500,4458088907,-,11392211407,-,11392211407
1 Maret 2023,Periodik,2022,EKSEKUTIF,KEMENTERIAN HUKUM DAN HAK ASASI MANUSIA,STAF AHLI,LUCKY AGUNG BINARTO,STAF AHLI,635065,9243500000,445000000,1014700000,-,631862083,-,11335062083,270596436,11064465647
25 Februari 2022,Periodik,2021,EKSEKUTIF,TENTARA NASIONAL INDONESIA,MABES TNI,H. HARIS HARYANTO,KAS KOHANUDNAS,433569,1668590000,742000000,-,-,1280000000,-,3690590000,-,3690590000
25 Februari 2023,Periodik,2022,EKSEKUTIF,KEMENTERIAN PERTAHANAN,BADAN PENDIDIKAN DAN PELATIHAN,TANDYO BUDI REVITA,KEPALA BADAN,633850,3283303715,228750000,79800000,430000000,872351421,-,4894205136,1000700000,3893505136
16 Maret 2023,Periodik,2022,EKSEKUTIF,KEMENTERIAN PERTAHANAN,BADAN INSTALASI STRATEGIS PERTAHANAN,YUDI ABRIMANTYO,KEPALA BADAN,524026,2906288326,345500000,595000000,-,1907716537,210000000,5964504863,-,5964504863
23 Februari 2023,Periodik,2022,EKSEKUTIF,KEMENTERIAN LUAR NEGERI,PIMPINAN TERTINGGI,RETNO LESTARI PRIANSARI MARSUDI,MENTERI LUAR NEGERI RI,15169,2548454500,422250200,120000000,-,28913177666,-,32003882366,-,32003882366
